crc,name,game,title
674ddc58,653-1.cpu,spidermn,Amazing Spider-Man  The
ff1ddfd7,653-2.cpu,spidermn,Amazing Spider-Man  The
f5650c46,653.snd,spidermn,Amazing Spider-Man  The
c8ba951d,6530sy80.bin,spidermn,Amazing Spider-Man  The
5386e5fb,652.cpu,panthera,Panthera
4d0cf2c0,652.snd,panthera,Panthera
0eeb2731,654-1.cpu,circus,Circus
01e23569,654-2.cpu,circus,Circus
75c3ad67,654.snd,circus,Circus
42baf51d,656-1.cpu,cntforce,Counterforce
0e185c30,656-2.cpu,cntforce,Counterforce
0be2cbe9,656.snd,cntforce,Counterforce
27081372,657-1.cpu,starrace,Star Race
c56e31c8,657-2.cpu,starrace,Star Race
3a1d3995,657.snd,starrace,Star Race
b841ad7a,658-1.cpu,jamesb,James Bond (Timed Play)
962c03df,658.snd,jamesb,James Bond (Timed Play)
e7e0febf,658-x.cpu,jamesb2,James Bond (3/5-Ball)
d6950e3b,659.cpu,timeline,Time Line
28185568,659.snd,timeline,Time Line
a4fa42a4,661-2.cpu,forceii,Force II
650158a7,661.snd,forceii,Force II
a0d3e69a,664-1.cpu,pnkpnthr,Pink Panther
18f4abfd,664.snd,pnkpnthr,Pink Panther
48aeb325,664_flipprojets.snd,pnkpntrs,Pink Panther (sound correction fix)
bb7d476a,666-1.cpu,mars,Mars - God of War
d33dc8a5,666-s1.snd,mars,Mars - God of War
e5616f3e,666-s2.snd,mars,Mars - God of War
029e0bcf,666s-1.cpu,marsp,Mars - God of War (Prototype)
f9f782c5,f666-s1.snd,marsf,Mars - God of War (French Speech)
7bd64d94,f666-s2.snd,marsf,Mars - God of War (French Speech)
6fb6d10b,666-2.cpu,mars_2,Mars - God of War (rev. 2 unofficial MOD)
1f51c351,667-a-x.cpu,vlcno_ax,Volcano
ba9d40b7,667-s1.snd,vlcno_ax,Volcano
b54bd123,667-s2.snd,vlcno_ax,Volcano
a422d862,667-1b.cpu,vlcno_1b,Volcano (Sound Only)
894b4e2e,667-a-s.snd,vlcno_1b,Volcano (Sound Only)
5931c6f7,667-1a.cpu,vlcno_1a,Volcano (Sound Only  alternate version)
e364202d,667-1c.cpu,vlcno_1c,Volcano (Sound Only  alternate version 2)
01b53045,668-4.cpu,blckhole,Black Hole (rev. 4)
23d5045d,668-s1.snd,blckhole,Black Hole (rev. 4)
d63da498,668-s2.snd,blckhole,Black Hole (rev. 4)
df03ffea,668-2.cpu,blkhole2,Black Hole (rev. 2)
df56f896,668-a2.cpu,blkholea,Black Hole (Sound Only)
5175f307,668-a-s.snd,blkholea,Black Hole (Sound Only)
f3085f77,669-2.cpu,hh,Haunted House (rev. 2)
52ec7335,669-s1.snd,hh,Haunted House (rev. 2)
a3317b4b,669-s2.snd,hh,Haunted House (rev. 2)
cf178411,669-3.cpu,hh_3,Haunted House (rev. 3 unofficial MOD)
effe6851,669-3a.cpu,hh_3a,Haunted House (rev. 3 unofficial MOD  LED)
2bfceb85,669-3b.cpu,hh_3b,Haunted House (rev. 3 unofficial MOD  LED+Secret Tunnel)
8724cdf8,669-4.cpu,hh_4,Haunted House (rev. 4 unofficial Votrax speech MOD)
7b906d4b,669-4a.cpu,hh_4a,Haunted House (rev. 4 unofficial Votrax speech MOD  LED)
